videoID,ID,Religion_PRED,Race_PRED,Gender_PRED,Gender Identity/Sexual Orientation_PRED,Immigration_PRED,Ethnicity/Identitarian/Nationalism_PRED,Anti-semitism_PRED,n_flavors,predicted_at,Active_Columns,Label,TAGS,GroupedTAGS
fg0U6_tXMeA,13752 - 13763,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|LGBT,LGBT
fiEyIpsTuvo,13875 - 13875,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
fit4B4tD0Hs,13880 - 13882,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News|PartisanLeft|SocialJustice,Social Justice
flPAhJkzPYk,13946 - 13955,1,1,0,0,1,1,0,4,2023-08-10T14:52:22,"Religion_PRED, Race_PRED, Immigration_PRED, Ethnicity/Identitarian/Nationalism_PRED",Hate,AntiSJW,AntiSJW
fnTWfoED0Ek,14033 - 14037,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,AntiSJW|PartisanRight,AntiSJW
fnWiWqVhOko,14613 - 14625,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,LGBT|SocialJustice,LGBT
foRPjtW1LZE,14038 - 14038,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT|SocialJustice,LGBT
fp79JMNOSGs,14042 - 14044,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
fs52_9Yjctw,14049 - 14060,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT|SocialJustice,LGBT
ftCw-c-j7m8,14069 - 14070,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
fthVOicnuQM,14071 - 14082,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,PartisanRight|WhiteIdentitarian,White Identitarian
fuMrvlqyhIY,14088 - 14099,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,AntiSJW|PartisanRight,AntiSJW
fv8CY6kq_2s,14101 - 14134,0,1,0,1,0,0,0,2,2023-08-10T14:52:22,"Race_PRED, Gender Identity/Sexual Orientation_PRED",Hate,AntiSJW|PartisanRight,AntiSJW
fw_0cukrHIE,14626 - 14666,0,0,1,1,0,0,1,3,2023-08-10T14:52:22,"Gender_PRED, Gender Identity/Sexual Orientation_PRED, Anti-semitism_PRED",Hate,SocialJustice|Socialist,Social Justice
g26j9dtz4kw,14270 - 14281,0,1,1,1,0,0,0,3,2023-08-10T14:52:22,"Race_PRED, Gender_PRED, Gender Identity/Sexual Orientation_PRED",Hate,AntiTheist|SocialJustice|Socialist,Social Justice
g6pquvaqObo,14290 - 14290,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Mainstream News,Mainstream News
g7BwSy3UE0U,14419 - 14423,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|WhiteIdentitarian,White Identitarian
g7CxhtSxsDQ,14424 - 14472,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|PartisanRight|WhiteIdentitarian,White Identitarian
g8Zq9MM2nho,14473 - 14476,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,AntiSJW|PartisanRight,AntiSJW
g92zINKZy00,14477 - 14507,1,0,0,0,0,0,1,2,2023-08-10T14:52:22,"Religion_PRED, Anti-semitism_PRED",Hate,AntiSJW,AntiSJW
gBsgHQUJw9k,14667 - 14679,0,0,0,1,0,0,0,1,2023-08-10T14:52:22,Gender Identity/Sexual Orientation_PRED,Hate,LGBT|SocialJustice,LGBT
gEqtejBi5vI,14713 - 14714,0,0,0,0,0,0,0,0,2023-08-10T14:52:22,,Non Hate,Educational|SocialJustice,Social Justice
gEvRr7im-2g,14715 - 14719,0,0,0,0,0,1,0,1,2023-08-10T14:52:22,Ethnicity/Identitarian/Nationalism_PRED,Hate,Mainstream News|PartisanLeft|SocialJustice,Social Justice
gGW4C5c2ylQ,14735 - 14735,1,0,0,0,0,0,0,1,2023-08-10T14:52:22,Religion_PRED,Hate,AntiSJW,AntiSJW
